sentence_id	token	pos_tag	probability
1	how	WRB	0.7265235781669617
1	that	IN	0.11807681620121002
1	and	CC	0.03169099614024162
1	where	WRB	0.026273885741829872
1	when	WRB	0.022086523473262787
1	if	IN	0.01939096674323082
1	before	IN	0.010813282802700996
1	why	WRB	0.004580003209412098
1	because	IN	0.0030329576693475246
1	as	IN	0.0021296220365911722
1	once	RB	0.0013938938500359654
1	until	IN	0.0013633662601932883
2	that	IN	0.635360062122345
2	where	WRB	0.2847384214401245
2	why	WRB	0.03396039083600044
2	how	WRB	0.01619083806872368
2	when	WRB	0.01430842187255621
2	if	IN	0.005842001177370548
2	as	IN	0.0016167175490409136
2	because	IN	0.0012264749966561794
2	who	WP	0.0009154158760793507
2	while	IN	0.0007290596258826554
2	and	CC	0.000650447909720242
2	whether	IN	0.000622217427007854
2	what	WP	0.00031358448904938996
2	which	WDT	0.00024275301257148385
3	where	WRB	0.40349093079566956
3	how	WRB	0.29278096556663513
3	that	IN	0.1093422919511795
3	when	WRB	0.09178770333528519
3	why	WRB	0.06657654792070389
3	about	IN	0.005593865644186735
3	before	IN	0.003222357016056776
3	who	WP	0.0030704077798873186
3	if	IN	0.002159212250262499
3	because	IN	0.0013643562560901046
3	and	CC	0.0011999021517112851
3	what	WP	0.0007024558144621551
3	as	IN	0.0006536567816510797
4	that	IN	0.8522377014160156
4	if	IN	0.022798167541623116
4	how	WRB	0.02209758386015892
4	when	WRB	0.010945902206003666
4	why	WRB	0.009854704141616821
4	and	CC	0.006341019179672003
4	because	IN	0.004866236820816994
4	where	WRB	0.0019310726784169674
4	before	IN	0.001643038121983409
4	but	CC	0.0015951289096847177
5	that	IN	0.477029025554657
5	when	WRB	0.20668372511863708
5	how	WRB	0.11025433242321014
5	where	WRB	0.06035260111093521
5	if	IN	0.03650446608662605
5	before	IN	0.03625345975160599
5	why	WRB	0.00812238734215498
5	whether	IN	0.006863301154226065
5	once	RB	0.005308686755597591
5	after	IN	0.004857773892581463
5	and	CC	0.004460782278329134
5	because	IN	0.003901950316503644
5	as	IN	0.0033593683037906885
6	when	WRB	0.40731823444366455
6	how	WRB	0.124991774559021
6	that	IN	0.05636340752243996
6	before	IN	0.03179049491882324
6	why	WRB	0.02712862379848957
6	until	IN	0.012039052322506905
6	where	WRB	0.007799141108989716
6	after	IN	0.007150106132030487
6	and	CC	0.005130375735461712
6	as	IN	0.005063733551651239
6	if	IN	0.004042704589664936
6	because	IN	0.00402619456872344
6	once	RB	0.0038301299791783094
7	and	CC	0.25700533390045166
7	that	IN	0.07927469164133072
7	because	IN	0.057202376425266266
7	why	WRB	0.02065252512693405
7	but	CC	0.013281780295073986
7	when	WRB	0.011587326414883137
7	how	WRB	0.009865568950772285
7	as	IN	0.008735047653317451
7	so	RB	0.008303441107273102
8	that	IN	0.8333417177200317
8	how	WRB	0.017665766179561615
8	why	WRB	0.01766204461455345
8	if	IN	0.013495359569787979
8	when	WRB	0.00674354936927557
8	where	WRB	0.004728785715997219
8	because	IN	0.002502646530047059
8	as	IN	0.002437817631289363
8	about	IN	0.0023862526286393404
8	and	CC	0.00206938898190856
9	that	IN	0.8384203910827637
9	how	WRB	0.09340620040893555
9	and	CC	0.01024078018963337
9	why	WRB	0.008329427801072598
