sentence_index,word_index,word,surprisal,model,condition,global_condition
0,0,The,0.0,gpt2_supr,that-no-gap,non-global
0,1,cleaner,18.0574893951416,gpt2_supr,that-no-gap,non-global
0,2,obviously,13.950350761413574,gpt2_supr,that-no-gap,non-global
0,3,knew,5.0480637550354,gpt2_supr,that-no-gap,non-global
0,4,that,3.2662878036499023,gpt2_supr,that-no-gap,non-global
0,5,the,2.927645683288574,gpt2_supr,that-no-gap,global
0,6,resident,12.500054359436035,gpt2_supr,that-no-gap,global
0,7,identified,13.832551956176758,gpt2_supr,that-no-gap,global
0,8,the,4.28641414642334,gpt2_supr,that-no-gap,global
0,9,chest,14.563148498535156,gpt2_supr,that-no-gap,global
0,10,of,4.235966682434082,gpt2_supr,that-no-gap,global
0,11,documents,11.066054344177246,gpt2_supr,that-no-gap,global
0,12,in,3.9658498764038086,gpt2_supr,that-no-gap,global
0,13,the,1.4734153747558594,gpt2_supr,that-no-gap,global
0,14,hall,10.973102569580078,gpt2_supr,that-no-gap,global
0,15,in,6.025159358978272,gpt2_supr,that-no-gap,global
0,16,the,2.7223174571990967,gpt2_supr,that-no-gap,global
0,17,morning,6.539651393890381,gpt2_supr,that-no-gap,global
0,18,.,12.592442512512209,gpt2_supr,that-no-gap,non-global
1,0,The,0.0,gpt2_supr,that-no-gap,non-global
1,1,victim,11.845145225524902,gpt2_supr,that-no-gap,non-global
1,2,clearly,13.884114265441896,gpt2_supr,that-no-gap,non-global
1,3,knew,4.918805122375488,gpt2_supr,that-no-gap,non-global
1,4,that,3.232938051223755,gpt2_supr,that-no-gap,non-global
1,5,the,3.037311315536499,gpt2_supr,that-no-gap,global
1,6,murderer,8.575479507446289,gpt2_supr,that-no-gap,global
1,7,noticed,15.123564720153809,gpt2_supr,that-no-gap,global
1,8,the,3.367870330810547,gpt2_supr,that-no-gap,global
1,9,pool,13.401715278625488,gpt2_supr,that-no-gap,global
1,10,of,2.071871042251587,gpt2_supr,that-no-gap,global
1,11,blood,0.1286355108022689,gpt2_supr,that-no-gap,global
1,12,in,3.06119704246521,gpt2_supr,that-no-gap,global
1,13,the,0.8860813975334167,gpt2_supr,that-no-gap,global
1,14,prison,13.125649452209473,gpt2_supr,that-no-gap,global
