0	0	The
1	1	cleaner
2	2	obviously
3	3	knew
4	4	that
5	5	the
6	6	resident
7	7	identified
8	8	the
9	9	letters
10	10	in
11	11	the
12	12	hall
13	13	in
14	14	the
15	15	morning
16	16	.
17	17	<eos>
18	0	The
19	1	victim
20	2	clearly
21	3	knew
22	4	that
23	5	the
24	6	murderer
25	7	held
26	8	the
27	9	gun
28	10	in
29	11	the
30	12	hall
31	13	in
32	14	the
33	15	evening
34	16	.
35	17	<eos>
36	0	The
37	1	professor
38	2	totally
39	3	knew
40	4	that
41	5	the
42	6	scientist
43	7	installed
44	8	the
45	9	equipment
46	10	in
47	11	the
48	12	building
49	13	during
50	14	the
51	15	weekend
52	16	.
53	17	<eos>
54	0	The
55	1	policeman
56	2	stupidly
57	3	knew
58	4	that
59	5	the
60	6	butcher
61	7	recognized
62	8	the
63	9	meat
64	10	in
65	11	the
66	12	shop
67	13	in
68	14	the
69	15	morning
70	16	.
71	17	<eos>
72	0	The
73	1	coach
74	2	regrettably
75	3	knew
76	4	that
77	5	the
78	6	pupil
79	7	caught
80	8	the
81	9	ball
82	10	in
83	11	the
84	12	gym
85	13	during
86	14	the
87	15	weekend
88	16	.
89	17	<eos>
90	0	The
91	1	associate
92	2	totally
93	3	knew
94	4	that
95	5	the
96	6	accountant
97	7	unveiled
98	8	the
99	9	documents
100	10	in
101	11	the
102	12	office
103	13	in
104	14	the
105	15	afternoon
106	16	.
107	17	<eos>
108	0	The
109	1	author
110	2	obviously
111	3	knew
112	4	that
113	5	the
114	6	editor
115	7	praised
116	8	the
117	9	novel
118	10	in
119	11	the
120	12	studio
121	13	during
122	14	the
123	15	holidays
124	16	.
125	17	<eos>
126	0	The
127	1	nurse
128	2	almost
129	3	forgot
130	4	that
131	5	the
132	6	dentist
133	7	carried
134	8	the
135	9	acid
136	10	in
137	11	the
138	12	office
139	13	during
140	14	the
141	15	holidays
142	16	.
143	17	<eos>
144	0	The
145	1	assistant
146	2	clearly
147	3	forgot
148	4	that
149	5	the
150	6	economist
151	7	prevented
152	8	the
153	9	fraud
154	10	in
155	11	the
156	12	hall
157	13	in
158	14	the
159	15	morning
160	16	.
161	17	<eos>
162	0	The
163	1	waiter
164	2	gradually
165	3	forgot
166	4	that
167	5	the
168	6	customer
169	7	bought
170	8	the
171	9	beer
172	10	in
173	11	the
174	12	pub
175	13	in
176	14	the
177	15	evening
178	16	.
179	17	<eos>
180	0	The
181	1	drivers
182	2	stupidly
183	3	forgot
184	4	that
185	5	the
186	6	gardener
187	7	saved
188	8	the
189	9	bird
190	10	in
191	11	the
192	12	garden
193	13	during
194	14	the
195	15	weekend
196	16	.
197	17	<eos>
198	0	The
199	1	inspector
200	2	foolishly
201	3	forgot
202	4	that
203	5	the
204	6	prisoner
205	7	discovered
206	8	the
207	9	knife
208	10	in
209	11	the
210	12	cell
211	13	in
212	14	the
213	15	evening
214	16	.
215	17	<eos>
216	0	The
217	1	intern
218	2	stupidly
219	3	forgot
220	4	that
221	5	the
222	6	surgeon
223	7	found
224	8	the
225	9	tissue
226	10	in
227	11	the
228	12	hospital
229	13	in
230	14	the
231	15	evening
232	16	.
233	17	<eos>
234	0	The
235	1	archaeologist
236	2	regrettably
237	3	forgot
238	4	that
239	5	the
240	6	excavator
241	7	ruined
242	8	the
243	9	fossils
244	10	on
245	11	the
246	12	site
247	13	in
248	14	the
249	15	morning
250	16	.
251	17	<eos>
252	0	The
253	1	publisher
254	2	almost
255	3	explained
256	4	that
257	5	the
258	6	writer
259	7	highlighted
260	8	the
261	9	acknowledgement
262	10	in
263	11	the
264	12	study
265	13	during
266	14	the
267	15	weekend
268	16	.
269	17	<eos>
270	0	The
271	1	employer
272	2	totally
273	3	explained
274	4	that
275	5	the
276	6	colleague
277	7	eliminated
278	8	the
279	9	contracts
280	10	in
281	11	the
282	12	building
283	13	in
284	14	the
285	15	morning
286	16	.
287	17	<eos>
288	0	The
289	1	critic
290	2	carefully
291	3	explained
292	4	that
293	5	the
294	6	architect
295	7	destroyed
296	8	the
297	9	house
298	10	on
299	11	the
300	12	site
301	13	during
302	14	the
303	15	holidays
304	16	.
305	17	<eos>
306	0	The
307	1	landlord
308	2	promptly
309	3	explained
310	4	that
311	5	the
312	6	tenant
313	7	ignored
314	8	the
315	9	notice
316	10	in
317	11	the
318	12	house
319	13	in
320	14	the
321	15	afternoon
322	16	.
