,model_word,surprisal,model
0,The,0.0,gpt2_supr
1, cleaner,18.0574893951416,gpt2_supr
2, obviously,13.950350761413574,gpt2_supr
3, knew,5.0480637550354,gpt2_supr
4, what,2.3652639389038086,gpt2_supr
5, and,11.989924430847168,gpt2_supr
6, where,3.876373767852783,gpt2_supr
7, the,3.257174253463745,gpt2_supr
8, resident,13.755910873413086,gpt2_supr
9, identified,13.462373733520508,gpt2_supr
10, something,12.675829887390137,gpt2_supr
11, in,4.6313796043396,gpt2_supr
12, the,0.962856113910675,gpt2_supr
13, morning,10.449461936950684,gpt2_supr
14,.,12.480201721191406,gpt2_supr
15,<|endoftext|>,15.119583129882812,gpt2_supr
16,The,0.0,gpt2_supr
17, victim,11.845145225524902,gpt2_supr
18, clearly,13.884114265441896,gpt2_supr
19, knew,4.918805122375488,gpt2_supr
20, what,2.16103196144104,gpt2_supr
21, and,12.702675819396973,gpt2_supr
22, where,4.597750186920166,gpt2_supr
23, the,3.442554473876953,gpt2_supr
24, murderer,8.234498977661133,gpt2_supr
25, held,10.885286331176758,gpt2_supr
26, something,9.99050998687744,gpt2_supr
27, in,3.895401954650879,gpt2_supr
28, the,4.1249308586120605,gpt2_supr
29, evening,11.18420124053955,gpt2_supr
30,.,12.8145751953125,gpt2_supr
31,<|endoftext|>,13.762736320495604,gpt2_supr
32,The,0.0,gpt2_supr
33, professor,13.283145904541016,gpt2_supr
34, totally,16.5474853515625,gpt2_supr
35, knew,6.66673469543457,gpt2_supr
36, what,1.1774662733078003,gpt2_supr
37, and,12.355142593383787,gpt2_supr
38, where,4.417747974395752,gpt2_supr
39, the,3.412724256515503,gpt2_supr
40, scientist,13.534825325012209,gpt2_supr
41, installed,17.051292419433594,gpt2_supr
42, something,11.326238632202148,gpt2_supr
43, during,8.348428726196289,gpt2_supr
44, the,1.5813761949539185,gpt2_supr
45, weekend,10.45034408569336,gpt2_supr
46,.,10.836710929870604,gpt2_supr
47,<|endoftext|>,14.931979179382324,gpt2_supr
48,The,0.0,gpt2_supr
49, policeman,16.035429000854492,gpt2_supr
50, stupidly,19.21550178527832,gpt2_supr
51, knew,11.7320556640625,gpt2_supr
52, what,3.518014669418335,gpt2_supr
53, and,11.647839546203612,gpt2_supr
54, where,3.745112895965576,gpt2_supr
55, the,3.644371032714844,gpt2_supr
56, butcher,15.62514305114746,gpt2_supr
57, recognized,20.76176643371582,gpt2_supr
58, something,11.921406745910645,gpt2_supr
59, in,4.870285987854004,gpt2_supr
60, the,1.231212854385376,gpt2_supr
61, shop,7.8686323165893555,gpt2_supr
62, in,8.189047813415527,gpt2_supr
63, the,2.0965921878814697,gpt2_supr
64, morning,3.784466505050659,gpt2_supr
65,.,10.9599027633667,gpt2_supr
66,<|endoftext|>,13.469361305236816,gpt2_supr
67,The,0.0,gpt2_supr
68, coach,13.216989517211914,gpt2_supr
69, regrettably,21.84473991394043,gpt2_supr
70, knew,9.119287490844728,gpt2_supr
71, what,4.287435054779053,gpt2_supr
72, and,11.93178939819336,gpt2_supr
73, where,4.039904594421387,gpt2_supr
74, the,3.1997978687286377,gpt2_supr
75, pupil,13.583768844604492,gpt2_supr
76, caught,13.557048797607422,gpt2_supr
77, something,10.833683013916016,gpt2_supr
78, during,6.707451343536377,gpt2_supr
79, the,1.5296586751937866,gpt2_supr
80, weekend,9.266858100891112,gpt2_supr
81,.,12.02228832244873,gpt2_supr
82,<|endoftext|>,12.961623191833496,gpt2_supr
83,The,0.0,gpt2_supr
84, associate,17.001256942749023,gpt2_supr
85, totally,19.644121170043945,gpt2_supr
86, knew,8.038739204406738,gpt2_supr
87, what,1.288851022720337,gpt2_supr
88, and,12.093918800354004,gpt2_supr
89, where,4.370574951171875,gpt2_supr
90, the,3.955240249633789,gpt2_supr
91, accountant,15.781267166137695,gpt2_supr
92, unveiled,21.946044921875,gpt2_supr
93, something,10.140823364257812,gpt2_supr
94, in,6.019129276275635,gpt2_supr
95, the,1.8776119947433472,gpt2_supr
96, afternoon,8.243637084960938,gpt2_supr
97,.,10.756134033203123,gpt2_supr
