0	0	The
1	1	cleaner
2	2	obviously
3	3	knew
4	4	which
5	5	letter
6	6	the
7	7	resident
8	8	identified
9	9	something
10	10	in
11	11	the
12	12	morning
13	13	.
14	14	<eos>
15	0	The
16	1	victim
17	2	clearly
18	3	knew
19	4	which
20	5	gun
21	6	the
22	7	murderer
23	8	held
24	9	something
25	10	in
26	11	the
27	12	evening
28	13	.
29	14	<eos>
30	0	The
31	1	professor
32	2	totally
33	3	knew
34	4	which
35	5	equipment
36	6	the
37	7	scientist
38	8	installed
39	9	something
40	10	during
41	11	the
42	12	weekend
43	13	.
44	14	<eos>
45	0	The
46	1	policeman
47	2	stupidly
48	3	knew
49	4	which
50	5	meat
51	6	the
52	7	butcher
53	8	recognized
54	9	something
55	10	in
56	11	the
57	12	shop
58	13	in
59	14	the
60	15	morning
61	16	.
62	17	<eos>
63	0	The
64	1	coach
65	2	regrettably
66	3	knew
67	4	which
68	5	ball
69	6	the
70	7	pupil
71	8	caught
72	9	something
73	10	during
74	11	the
75	12	weekend
76	13	.
77	14	<eos>
78	0	The
79	1	associate
80	2	totally
81	3	knew
82	4	which
83	5	document
84	6	the
85	7	accountant
86	8	unveiled
87	9	something
88	10	in
89	11	the
90	12	afternoon
91	13	.
92	14	<eos>
93	0	The
94	1	author
95	2	obviously
96	3	knew
97	4	which
98	5	novel
99	6	the
100	7	editor
101	8	praised
102	9	something
103	10	during
104	11	the
105	12	holidays
106	13	.
107	14	<eos>
108	0	The
109	1	nurse
110	2	almost
111	3	forgot
112	4	which
113	5	acid
114	6	the
115	7	dentist
116	8	carried
117	9	something
118	10	during
119	11	the
120	12	holidays
121	13	.
122	14	<eos>
123	0	The
124	1	assistant
125	2	clearly
126	3	forgot
127	4	which
128	5	fraud
129	6	the
130	7	economist
131	8	prevented
132	9	something
133	10	in
134	11	the
135	12	morning
136	13	.
137	14	<eos>
138	0	The
139	1	waiter
140	2	gradually
141	3	forgot
142	4	which
143	5	beer
144	6	the
145	7	customer
146	8	bought
147	9	something
148	10	in
149	11	the
150	12	evening
151	13	.
152	14	<eos>
153	0	The
154	1	drivers
155	2	stupidly
156	3	forgot
157	4	which
158	5	bird
159	6	the
160	7	gardener
161	8	saved
162	9	something
163	10	during
164	11	the
165	12	weekend
166	13	.
167	14	<eos>
168	0	The
169	1	inspector
170	2	foolishly
171	3	forgot
172	4	which
173	5	knife
174	6	the
175	7	prisoner
176	8	discovered
177	9	something
178	10	in
179	11	the
180	12	evening
181	13	.
182	14	<eos>
183	0	The
184	1	intern
185	2	stupidly
186	3	forgot
187	4	which
188	5	tissue
189	6	the
190	7	surgeon
191	8	found
192	9	something
193	10	in
194	11	the
195	12	evening
196	13	.
197	14	<eos>
198	0	The
199	1	archaeologist
200	2	regrettably
201	3	forgot
202	4	which
203	5	fossil
204	6	the
205	7	excavator
206	8	ruined
207	9	something
208	10	in
209	11	the
210	12	morning
211	13	.
212	14	<eos>
213	0	The
214	1	publisher
215	2	almost
216	3	explained
217	4	which
218	5	acknowledgement
219	6	the
220	7	writer
221	8	highlighted
222	9	something
223	10	during
224	11	the
225	12	weekend
226	13	.
227	14	<eos>
228	0	The
229	1	employer
230	2	totally
231	3	explained
232	4	which
233	5	contract
234	6	the
235	7	colleague
236	8	eliminated
237	9	something
238	10	in
239	11	the
240	12	morning
241	13	.
242	14	<eos>
243	0	The
244	1	critic
245	2	carefully
246	3	explained
247	4	which
248	5	house
249	6	the
250	7	architect
251	8	destroyed
252	9	something
253	10	during
254	11	the
255	12	holidays
256	13	.
257	14	<eos>
258	0	The
259	1	landlord
260	2	promptly
261	3	explained
262	4	which
263	5	notice
264	6	the
265	7	tenant
266	8	ignored
267	9	something
268	10	in
269	11	the
270	12	afternoon
271	13	.
272	14	<eos>
273	0	The
274	1	boss
275	2	slowly
276	3	explained
277	4	which
278	5	room
279	6	the
280	7	designer
281	8	designed
282	9	something
283	10	during
284	11	the
285	12	holidays
286	13	.
287	14	<eos>
288	0	The
289	1	critic
290	2	gradually
291	3	explained
292	4	which
293	5	painting
294	6	the
295	7	painters
296	8	modified
297	9	something
298	10	in
299	11	the
300	12	morning
301	13	.
302	14	<eos>
303	0	The
304	1	cleaner
305	2	obviously
306	3	knew
307	4	which
308	5	letter
309	6	the
310	7	resident
311	8	identified
312	9	in
313	10	the
314	11	morning
315	12	.
316	13	<eos>
317	0	The
